Table Names,Previous,Weeks on List,Price,Title,Author,ISBN,Rank
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,8.99,A Wrinkle in Time,Madeleine L'Engle,9781250153272,1
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Wonder,R.J. Palacio,9781524720193,2
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.95,The Girl Who Drank the Moon,Kelly Barnhill,9781616205676,3
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Auggie & Me,R.J. Palacio,9781101934852,4
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,"Hello, Universe",Erin Entrada Kelly & Isabel Roxas (Illus.),9780062414151,5
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,12.99,All's Faire in Middle School,Victoria Jamieson,9780525429999,6
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Drama,Raina Telgemeier,9780545326995,7
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Sisters,Raina Telgemeier,9780545540605,8
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Wishtree,Katherine Applegate,9781250043221,9
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,8.99,The War That Saved My Life,Kimberly Brubaker Bradley,9780147510488,10
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Smile,Raina Telgemeier,9780545132060,11
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,16.99,Black Panther: The Young Prince,Ronald L. Smith,9781484787649,12
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,6.99,Marvel's Black Panther: The Junior Novel,Jim McCann,9780316413206,13
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,10.99,Ghosts,Raina Telgemeier,9780545540629,14
ABA Bestsellers 02-21-18.xlsx/Early & Middle,,,12.99,Roller Girl,Victoria Jamieson,9780803740167,15
ABA Bestsellers 02-28-18.xlsx/Mass Market,1,8,9.99,No Middle Name,Lee Child,9780399593598,1
ABA Bestsellers 02-28-18.xlsx/Mass Market,2,3,9.99,Ready Player One,Ernest Cline,9780804190145,2
ABA Bestsellers 02-28-18.xlsx/Mass Market,3,33,9.99,The Whistler,John Grisham,9781101967683,3
ABA Bestsellers 02-28-18.xlsx/Mass Market,,1,9.99,Red Sparrow,Jason Matthews,9781501168918,4
ABA Bestsellers 02-28-18.xlsx/Mass Market,6,9,9.99,Never Never,James Patterson,9781478944782,5
ABA Bestsellers 02-28-18.xlsx/Mass Market,10,176,9.99,1984,George Orwell,9780451524935,6
ABA Bestsellers 02-28-18.xlsx/Mass Market,5,32,9.99,The Husband's Secret,Liane Moriarty,9780451490049,7
ABA Bestsellers 02-28-18.xlsx/Mass Market,4,13,9.99,Dragon Teeth,Michael Crichton,9780062473363,8
ABA Bestsellers 02-28-18.xlsx/Mass Market,9,5,8.99,Against All Odds,Danielle Steel,9781101883938,9
ABA Bestsellers 02-28-18.xlsx/Mass Market,8,8,9.99,What Alice Forgot,Liane Moriarty,9780451490445,10
